topic_label,covenant_breach,customer_concentration,deleveraging,industry_headwinds,legal_regulatory,liquidity_stress,management_turnover,performance_improvement,refinancing_risk,reporting_delinquency,revenue_decline
base / identified / primary / finance,0,0,0,37,0,0,0,0,0,83,0
capital / operating / days / requested,0,0,14,0,0,58,0,17,0,0,0
cash / significant / capex / monitoring,0,0,0,0,0,59,0,0,0,0,0
cost / pass / demand / margin,0,0,0,0,0,0,0,24,0,0,53
covenants / test / additional / reporting,52,0,0,0,0,0,0,0,0,0,0
customer / coverage / filed / hedges,0,60,0,0,82,0,0,0,39,0,0
debt / sponsor / months / ,0,0,0,0,0,0,0,0,48,0,0
delivered / qualified / compliance / missed,62,0,0,0,0,0,0,0,0,0,0
growth / raised / guidance / backlog,0,0,0,0,0,0,0,59,0,0,0
headroom / treasury / concerns / missed,0,0,0,0,0,69,0,0,0,0,0
inventory / fell / sales / risk,0,0,0,0,0,0,0,0,0,0,50
leverage / covenant /  / ,49,0,0,0,0,0,0,0,0,0,0
limited / margins / given / rates,0,36,0,34,0,0,25,0,0,0,0
margin / operating / sector / versus,0,0,0,0,0,0,0,0,0,0,45
new / rates / revenue / multiyear,0,0,0,34,23,0,0,23,0,0,0
order / backlog / guidance / sales,0,0,0,0,20,0,17,0,0,0,49
outlook / multiyear / demand / filed,0,0,0,69,0,0,0,0,0,0,0
period / elevated / debt / leverage,0,0,17,0,0,0,0,0,51,0,0
position / revolver utilization / additional / declined,0,0,0,0,0,54,0,0,0,0,0
program / weakness / volume / savings,0,0,0,0,0,0,0,0,0,0,53
risk / refinancing / financial / elevated,0,47,18,0,0,0,81,0,42,101,0
sponsor / operations / fixed / fccr,0,0,23,0,0,54,0,0,0,0,0
term / committed / market / leverage,0,0,30,0,0,0,0,0,38,0,0
test / covenant / revolver utilization / utilization,48,0,0,0,0,0,0,0,0,0,0
violation / breach / fixed / coverage,53,0,0,0,0,0,0,0,0,0,0
