topic_id,topic_label,n,downgrade_rate,upgrade_rate,avg_grade_change,avg_grade_before,avg_grade_after,pct_negative_sentiment
13,position / revolver utilization / additional / declined,54,0.833,0.0,2.037,6.944,8.981,1.0
5,headroom / treasury / concerns / missed,69,0.841,0.0,2.029,6.855,8.884,1.0
10,cash / significant / capex / monitoring,59,0.864,0.0,1.864,6.627,8.492,1.0
21,test / covenant / revolver utilization / utilization,48,0.812,0.0,1.833,6.938,8.771,1.0
15,violation / breach / fixed / coverage,53,0.849,0.0,1.811,7.358,9.17,1.0
20,leverage / covenant /  / ,49,0.755,0.0,1.755,7.02,8.776,1.0
18,covenants / test / additional / reporting,52,0.808,0.0,1.673,6.5,8.173,0.0
9,delivered / qualified / compliance / missed,62,0.79,0.0,1.581,7.387,8.968,1.0
19,inventory / fell / sales / risk,50,0.74,0.02,1.5,7.32,8.82,1.0
24,margin / operating / sector / versus,45,0.778,0.0,1.489,7.111,8.6,1.0
22,debt / sponsor / months / ,48,0.833,0.0,1.438,6.771,8.208,1.0
17,program / weakness / volume / savings,53,0.755,0.0,1.396,6.83,8.226,1.0
1,customer / coverage / filed / hedges,181,0.713,0.022,1.271,7.011,8.282,0.613
4,order / backlog / guidance / sales,86,0.721,0.012,1.186,7.0,8.186,1.0
2,limited / margins / given / rates,95,0.768,0.011,1.147,6.832,7.979,0.642
23,base / identified / primary / finance,120,0.758,0.008,1.142,6.825,7.967,0.392
6,outlook / multiyear / demand / filed,69,0.71,0.014,1.087,6.942,8.029,1.0
0,risk / refinancing / financial / elevated,289,0.689,0.069,1.052,6.824,7.875,0.834
7,period / elevated / debt / leverage,68,0.618,0.221,0.956,7.059,8.015,0.75
3,capital / operating / days / requested,89,0.551,0.258,0.809,6.775,7.584,0.652
14,sponsor / operations / fixed / fccr,77,0.61,0.26,0.766,6.481,7.247,0.701
16,cost / pass / demand / margin,77,0.623,0.221,0.649,7.052,7.701,0.688
12,new / rates / revenue / multiyear,80,0.475,0.238,0.275,6.925,7.2,0.0
8,term / committed / market / leverage,68,0.5,0.412,0.206,7.118,7.324,0.0
11,growth / raised / guidance / backlog,59,0.017,0.797,-1.356,7.068,5.712,0.0
