PD_ID,comment_date,industry,warning_signal_comment,pd_grade_before,pd_grade_after,grade_change,migration,true_theme,topic_id,topic_label
PD100001,2024-08-16,Healthcare,Revenue contracted 10% year over year driven by softening demand. Gross margin compressed 529 bps on input cost inflation the borrower could not pass through.,5,7,2,Downgrade,revenue_decline,18,pass / demand / margin / cost
PD100002,2024-01-28,Hospitality,Borrower breached the maximum leverage covenant in Q1 2025; reported 4.6x against a 3.6x threshold. Waiver request under negotiation with the bank group.,10,13,3,Downgrade,covenant_breach,19,covenants / covenant / test / additional
PD100003,2024-01-07,Healthcare,Operating cash flow turned negative in Q4 2024. Working capital squeeze evident; payables stretched beyond 88 days and the borrower requested a temporary overadvance.,6,8,2,Downgrade,liquidity_stress,3,capital / operating / days / borrowing
PD100004,2024-08-08,Technology,Minimum EBITDA covenant missed by 18%. Compliance certificate delivered late with a qualified calculation. Documentation team reviewing reservation of rights letter.,8,8,0,No Change,covenant_breach,9,ebitda / qualified / compliance / missed
PD100005,2024-12-18,Agriculture,CFO resigned abruptly in Q1 2025 with no permanent successor named; interim finance lead has limited sector experience. Second C-suite departure in twelve months.,9,9,0,No Change,management_turnover,3,capital / operating / days / borrowing
PD100006,2024-05-07,Transportation,Significant cash burn observed. Unrestricted cash fell 32% quarter over quarter and the company is deferring capex to preserve liquidity. Monitoring weekly 13-week cash flow forecasts.,5,6,1,Downgrade,liquidity_stress,12,cash / significant / capex / monitoring
PD100007,2024-03-12,Manufacturing,CFO resigned abruptly in Q3 2025 with no permanent successor named; interim finance lead has limited sector experience. Second C-suite departure in twelve months.,6,8,2,Downgrade,management_turnover,3,capital / operating / days / borrowing
PD100008,2024-08-26,Retail,New tariffs raise landed costs approximately 19% on the borrower's primary import lines. Ability to pass through to customers is unproven.,6,7,1,Downgrade,industry_headwinds,4,exposure / filed / new / approximately
PD100009,2025-01-08,Healthcare,Repeated delays in delivering compliance certificates and monthly borrowing base certificates. Finance function appears under-resourced following staff departures.,6,8,2,Downgrade,reporting_delinquency,3,capital / operating / days / borrowing
PD100010,2024-09-30,Business Services,Significant cash burn observed. Unrestricted cash fell 52% quarter over quarter and the company is deferring capex to preserve liquidity. Monitoring weekly 13-week cash flow forecasts.,6,10,4,Downgrade,liquidity_stress,12,cash / significant / capex / monitoring
PD100011,2025-04-18,Transportation,Borrower has fully drawn the revolver with utilization at 90%. Cash position declined to $10M and liquidity runway is under 8 months without additional support.,6,8,2,Downgrade,liquidity_stress,16,position / revolver utilization / revolver / additional
PD100012,2024-08-12,Wholesale Trade,Borrower returned to profitability after two loss-making years. Cash conversion improved and the revolver is now undrawn.,9,6,-3,Upgrade,performance_improvement,16,position / revolver utilization / revolver / additional
PD100013,2024-02-27,Commercial Real Estate,EBITDA declined 41% versus plan on volume weakness and pricing pressure. Cost reduction program announced but savings not yet visible in results.,13,14,1,Downgrade,revenue_decline,21,pricing pressure / pressure / visible results / visible
PD100014,2024-11-18,Commercial Real Estate,Borrower breached the maximum leverage covenant in Q3 2025; reported 5.3x against a 3.7x threshold. Waiver request under negotiation with the bank group.,9,11,2,Downgrade,covenant_breach,19,covenants / covenant / test / additional
PD100015,2025-04-14,Healthcare,Liquidity concerns escalating. The borrower missed a scheduled sweep and drew the remaining $15M of revolver availability to fund payroll. Treasury reports minimal headroom.,5,6,1,Downgrade,liquidity_stress,2,headroom / concerns / missed / revolver
PD100016,2024-09-26,Business Services,EBITDA declined 19% versus plan on volume weakness and pricing pressure. Cost reduction program announced but savings not yet visible in results.,6,9,3,Downgrade,revenue_decline,21,pricing pressure / pressure / visible results / visible
PD100017,2024-08-12,Healthcare,Margin erosion accelerating; operating margin at 4% versus 12% prior year. Competitive discounting in the sector shows no sign of abating.,5,7,2,Downgrade,revenue_decline,0,sector / margin / outlook / operating
PD100018,2024-02-18,Retail,Contract repricing with the anchor customer cut unit margins 25%. Borrower has limited negotiating leverage given dependence on this relationship.,6,6,0,No Change,customer_concentration,19,covenants / covenant / test / additional
PD100019,2025-01-25,Agriculture,Operating cash flow turned negative in Q2 2025. Working capital squeeze evident; payables stretched beyond 98 days and the borrower requested a temporary overadvance.,8,8,0,No Change,liquidity_stress,3,capital / operating / days / borrowing
PD100020,2024-01-12,Wholesale Trade,"Interest burden up sharply post rate resets; cash interest coverage at 1.3x. Hedges expired and were not replaced, leaving full floating-rate exposure.",5,7,2,Downgrade,refinancing_risk,13,hedges / rates / market / quarters
PD100021,2024-12-14,Retail,Class action lawsuit filed alleging product defects; potential exposure estimated at $147M. Insurance coverage position remains unclear.,4,6,2,Downgrade,legal_regulatory,4,exposure / filed / new / approximately
