topic_id,size,auto_label,Representation
0,144,sector / margin / outlook / operating,"['sector', 'margin', 'outlook', 'operating', 'multiyear', 'demand', 'filed', 'growth', 'versus', 'hedges']"
1,129,sales / lowered fullyear / fullyear / continues,"['sales', 'lowered fullyear', 'fullyear', 'continues', 'consecutive sales', 'backlog thinning', 'thinning lowered', 'topline deterioration', 'deterioration', 'deterioration continues']"
2,95,headroom / concerns / missed / revolver,"['headroom', 'concerns', 'missed', 'revolver', 'liquidity', 'remediation', 'function', 'weakness', 'plan', 'requested']"
3,131,capital / operating / days / borrowing,"['capital', 'operating', 'days', 'borrowing', 'borrowing base', 'requested', 'base', 'flow', 'cash flow', 'function']"
4,141,exposure / filed / new / approximately,"['exposure', 'filed', 'new', 'approximately', 'pass', 'counsel', 'covers', 'borrowers', 'trade', 'identified']"
5,83,covenant / test / revolver utilization / discrepancies approximately,"['covenant', 'test', 'revolver utilization', 'discrepancies approximately', 'second time', 'reporting second', 'identified borrowing', 'field exam', 'time field', 'exam identified']"
6,101,annual / raised / repeated / concerns,"['annual', 'raised', 'repeated', 'concerns', 'financial', 'review', 'plan', 'risk elevated', 'loss', 'concern']"
7,72,refinancing risk / risk elevated / trade / capital,"['refinancing risk', 'risk elevated', 'trade', 'capital', 'borrowers', 'elevated', 'refinancing', 'risk', 'review', 'term']"
8,68,period / debt / elevated / leverage,"['period', 'debt', 'elevated', 'leverage', 'remains', 'ahead', 'outlook', 'given', '', '']"
9,120,ebitda / qualified / compliance / missed,"['ebitda', 'qualified', 'compliance', 'missed', 'unresolved revenue', 'days past', 'cited', 'statements', 'statements days', 'concern qualification']"
10,102,auditor / inventory / period / counsel,"['auditor', 'inventory', 'period', 'counsel', 'qualified', 'results', 'days', 'regulatory', 'limited', 'new']"
11,60,customer / concentration / product / order,"['customer', 'concentration', 'product', 'order', 'savings', 'borrowers', 'sales', 'remains', '', '']"
12,59,cash / significant / capex / monitoring,"['cash', 'significant', 'capex', 'monitoring', 'fell', 'flow', 'cash flow', 'liquidity', '', '']"
13,97,hedges / rates / market / quarters,"['hedges', 'rates', 'market', 'quarters', 'coverage', 'exposure', 'consecutive', 'utilization', 'loss', 'annual']"
14,60,regulatory / rates / revenue / multiyear,"['regulatory', 'rates', 'revenue', 'multiyear', 'committed', 'new', 'contract', 'base', 'customer', 'breach funding']"
15,56,refinancing / committed / market / term,"['refinancing', 'committed', 'market', 'term', 'months', 'leverage', 'improved', 'refinancing risk', 'pricing', 'risk']"
16,71,position / revolver utilization / revolver / additional,"['position', 'revolver utilization', 'revolver', 'additional', 'declined', 'utilization', 'months', 'cash', 'liquidity', 'improved']"
17,127,fccr / equity / breach / sponsor,"['fccr', 'equity', 'breach', 'sponsor', 'violation', 'operations', 'coverage', 'second', 'consecutive', 'liquidity']"
18,72,pass / demand / margin / cost,"['pass', 'demand', 'margin', 'cost', 'revenue', 'anchor', 'anchor customer', 'repricing anchor', 'repricing', 'unit margins']"
19,118,covenants / covenant / test / additional,"['covenants', 'covenant', 'test', 'additional', 'reporting', 'pricing', 'financial', 'requested', 'leverage', 'cut']"
20,48,debt / sponsor / months / ,"['debt', 'sponsor', 'months', '', '', '', '', '', '', '']"
21,46,pricing pressure / pressure / visible results / visible,"['pricing pressure', 'pressure', 'visible results', 'visible', 'versus plan', 'weakness pricing', 'savings visible', 'reduction program', 'reduction', 'program announced']"
